Restaurant,Address,Opening Hours,Holiday,Name,Price
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Paneer Pakkoda, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Samosa, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Aloo Tikki, 4.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chilli Pakora, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Bhel puri, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Samosa Chat, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Aloo Tikki Chat, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Papdi Chat, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Dahi Bhalla, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Channa Chat, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Aloo Chat, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Vadda Pav, 6.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chilly Paneer Dry, 8.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Gobi Manchurian Dry, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chilli Mushroom, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Crispy Chilli Potato, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Honey Garlic Gobi, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Gobi Lasuni, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Veg Hakka Noodles, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Veg Fried Rice, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chinese Dosa, 11.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Veg Manchurian, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,baby corn chilli manchurian, 10.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chilli Paneer Dry, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Sada Dosa, 8.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Masala Dosa, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Butter Sada Dosa, 8.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Butter Masala Dosa, 9.95
